location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20210424T1400,18.31053,40.0,9.114471,350.90973
20210424T1500,19.23053,38.0,11.27553,343.30075
20210424T1600,19.750528,36.0,11.090103,346.86597
20210424T1700,19.940529,34.0,12.849528,348.69006
20210424T1800,19.660528,37.0,14.917212,351.67438
20210424T1900,18.90053,42.0,15.03835,348.95905
20210424T2000,17.190529,49.0,14.003029,342.03088
20210424T2100,14.700529,56.0,14.003029,342.03088
20210424T2200,12.750529,60.0,11.770403,336.57132
20210424T2300,11.260529,64.0,7.7043357,322.59467
20210425T0000,10.310529,65.0,2.5959969,303.69006
20210425T0100,9.320529,68.0,3.2399998,270.0
20210425T0200,8.490529,68.0,4.3349743,274.76364
20210425T0300,7.8305287,72.0,1.1384199,288.43497
20210425T0400,7.3905287,77.0,4.6938257,302.4712
20210425T0500,7.2305284,79.0,5.634891,296.56506
20210425T0600,6.9405284,78.0,4.6102495,321.3402
20210425T0700,6.3505287,78.0,7.6367526,315.0
20210425T0800,6.6905284,76.0,8.942214,310.10092
20210425T0900,7.9405284,72.0,8.14587,315.0
20210425T1000,9.910529,66.0,7.0911775,336.0375
20210425T1100,11.920529,61.0,8.766573,340.82098
20210425T1200,14.020529,57.0,11.367109,349.04596
20210425T1300,15.920529,53.0,15.5843,353.3675
20210425T1400,17.260529,50.0,16.563911,358.75464
20210425T1500,18.30053,49.0,18.486622,353.29016
20210425T1600,18.72053,47.0,20.519999,360.0
20210425T1700,18.750528,46.0,20.929596,3.9451752
20210425T1800,18.46053,44.0,22.148045,7.4715424
20210425T1900,17.680529,44.0,18.888851,7.666794
20210425T2000,16.39053,47.0,10.823973,3.8140564
20210425T2100,14.950529,54.0,7.5685663,92.72631
20210425T2200,14.010529,48.0,10.8955765,82.40536
20210425T2300,11.450529,57.0,6.87779,96.009
20210426T0000,9.880529,62.0,5.634891,116.56505
20210426T0100,9.080529,60.0,1.835647,101.30993
20210426T0200,7.6005287,65.0,3.96,270.0
20210426T0300,6.6905284,69.0,2.9024127,60.25511
20210426T0400,6.0805287,74.0,0.35999998,360.0
20210426T0500,5.5505285,79.0,4.73506,278.74615
20210426T0600,5.1105285,82.0,5.7599998,270.0
20210426T0700,4.7505283,80.0,4.0249224,280.30487
20210426T0800,5.4205284,76.0,2.4149535,296.56506
20210426T0900,7.2705283,66.0,2.5959969,33.690063
20210426T1000,9.450529,58.0,5.00128,59.74356
20210426T1100,11.320529,54.0,7.968939,18.434952
20210426T1200,12.370529,53.0,9.007196,357.7094
20210426T1300,13.990529,51.0,7.92,360.0
20210426T1400,16.090528,47.0,4.6102495,38.659805
20210426T1500,18.39053,36.0,9.178235,48.179825
20210426T1600,18.850529,33.0,12.015589,81.38435
20210426T1700,18.750528,31.0,17.673029,93.50353
20210426T1800,18.410528,32.0,19.559633,96.34019
20210426T1900,17.62053,33.0,20.898611,100.9228
20210426T2000,16.410528,35.0,17.339897,94.76365
20210426T2100,14.160529,40.0,14.77755,87.20729
20210426T2200,11.950529,44.0,11.659777,81.11935
20210426T2300,9.880529,51.0,5.1544156,77.905235
20210427T0000,8.040529,60.0,2.52,270.0
20210427T0100,6.9905286,65.0,7.5685663,267.27368
20210427T0200,6.5205283,64.0,7.5599995,270.0
20210427T0300,5.7805285,70.0,2.8799999,89.99999
20210427T0400,5.0605288,75.0,1.8,323.13013
20210427T0500,4.1705284,83.0,5.315336,298.30078
20210427T0600,3.6705287,90.0,5.7599998,270.0
20210427T0700,3.5305285,88.0,4.0249224,243.43495
20210427T0800,5.0305285,78.0,3.6,270.0
20210427T0900,7.1305285,63.0,2.52,89.99999
20210427T1000,9.440529,55.0,3.0547013,44.999985
20210427T1100,11.190529,52.0,7.69592,349.2157
20210427T1200,12.790529,48.0,8.311245,342.34988
20210427T1300,15.040529,42.0,9.107359,341.56506
20210427T1400,16.770529,38.0,11.090103,346.86597
20210427T1500,17.87053,38.0,11.609651,352.875
20210427T1600,18.45053,38.0,12.287555,354.95755
20210427T1700,18.750528,37.0,11.928989,354.8056
20210427T1800,18.660528,36.0,11.440978,347.27567
20210427T1900,18.13053,38.0,11.177405,345.0686
20210427T2000,17.250528,40.0,9.028754,336.50146
20210427T2100,15.8005295,45.0,7.7879906,326.30994
20210427T2200,14.520529,47.0,5.495161,328.39252
20210427T2300,13.200529,51.0,1.9386592,338.1986
