Company,Team Strength,Sector,Location
Telebeacon Solutions Pvt Ltd,21-50,Healthcare|Education|Agriculture|Infrastructure Transport|Environment Clean Tech|Security,Hyderabad
Center of Digital Excellence (CODE) Private Limited,21-50,Preferably the Robotics Domain,Gautam Buddha Nagar
Tek Cube Pvt Ltd,21-50,Cyber Security,Hyderabad
AdstringO Software Private Limited,21-50,Information Technology,Mumbai Suburban
Inesh Smart Energy (P) Ltd,21-50,Smart Energy Meter and IOT products,Chennai
Telemo.io,11-20,cpaas|Communications,Noida
F6 Design & Training Solution,11-20,Education|Design|product development|AI & Machine Learning,Nagpur
OffCampusTest Technologies Private Limited,11-20,AI & Machine Learning,Kota
EstateMan,11-20,Real estate software,Jaipur
Codebucket solutions private limited,11-20,Healthcare|Education|Agriculture|Financial Inclusion|Environment Clean Tech,Ernakulam
Garth Holloway,11-20,Environment Clean Tech,Patna
pharos softtech pvt ltd,11-20,hospitality,Khordha
Vizara Technologies Private Limited,11-20,AR VR and Information Technology,South Delhi
Ashutosh Kumar,11-20,Infrastructure Transport,Patna
B2C Customer Service Pvt Ltd,11-20,Helpguru is home local service market place,East Delhi
iDream Education,11-20,Education,Gurugram
Constems-AI Systems Pvt Ltd,11-20,Agriculture|Manufacturing_and_Retail,Gautam Buddha Nagar
ZIROH LABS PRIVATE LIMITED,11-20,Cyber Security,Bangalore
NEXREA PRIVATE LIMITED,11-20,Healthcare|Augmented Reality-Virtual Reality and Artificial Intelligence,Hyderabad
GoFloaters A unit of SMBSure Business Solutions Private Limited,11-20,Infrastructure Transport|Ecommerce marketplace for work spaces,Chennai
PHOENIX ANALYTICS,11-20,Education|Financial Inclusion,Chittoor
Numocity Technologies,11-20,Infrastructure Transport|Environment Clean Tech,Bangalore
PROSPERITA MEDI 360 PVT LTD,11-20,Healthcare,Bangalore
muuvr,11-20,Infrastructure Transport|Truck logistics,Kamrup Metropolitan
Kitbag Tech Private Limited,11-20,Education,North West Delhi
The Solar Labs,11-20,Environment Clean Tech|Clean Energy Solution,South Delhi
PerfectFit Systems Private Limited,11-20,Ecommerce,Ernakulam
Uengage Services Private Limited,11-20,Digitisation of small businesses,Panchkula
METAPHOR NETWORKS PRIVATE LIMITED,11-20,Education,Khordha
EndureAir Systems Private Limited,11-20,Robotics - UAVs,Kanpur Nagar
Eyedentify Systems Private Limited,11-20,Infrastructure Transport,Hyderabad
Fabheads Automation,11-20,Manufacturing,Chennai
Tychee Innovations Pvt LTD,11-20,Healthcare|Education,Krishna
De corporate Consulting pvt ltd,11-20,Human resources,Panchkula
SKAAS TECHNOLOGY SOLUTIONS PRIVATE LIMITED,11-20,Education,Bangalore
Three Axis Engineering Services Pvt Ltd,11-20,Mechanical Engineering Services,Dharwad
SEMI-KSHA Semiconductors Pvt Ltd,11-20,Semiconductor Development and Services,Dharwad
Cybsky  Cyberambassador Solutions Pvt Ltd.,11-20,Digital Security,Nashik
GFF Innovations Pvt Ltd,11-20,Healthcare|Agriculture|Environment Clean Tech|Clean Energy Solution,Patiala
RAVENEYE GEOSPATIAL PRIVATE LIMITED,11-20,Infrastructure Transport|Environment Clean Tech|Geospatial Technology,Haridwar
